station,VP,FP,FN,precisao,recall,F1
altona,2136.0,2742.0,2146.0,0.4379,0.4988,0.4664
amerikahoeft,1032.0,4082.0,1476.0,0.2018,0.4115,0.2708
ellerholzhoeft,1055.0,1800.0,668.0,0.3695,0.6123,0.4609
hohe_schaar,48.0,75.0,81.0,0.3902,0.3721,0.381
kattwyk,496.0,617.0,793.0,0.4456,0.3848,0.413
koehlbrandhoeft,2039.0,2161.0,2622.0,0.4855,0.4375,0.4602
krusenbusch,807.0,1509.0,738.0,0.3484,0.5223,0.418
landungsbruecken,1818.0,2964.0,1822.0,0.3802,0.4995,0.4317
nesssand,199.0,292.0,509.0,0.4053,0.2811,0.3319
parkhafen,281.0,285.0,654.0,0.4965,0.3005,0.3744
reiherstieg,248.0,391.0,94.0,0.3881,0.7251,0.5056
sandauhafen,646.0,1003.0,545.0,0.3918,0.5424,0.4549
seemannshoeft,1532.0,2670.0,1379.0,0.3646,0.5263,0.4308
