eps,VP,FP,FN,precisao,recall,F1,varreduras,plots,alvos,plots_por_alvo
15.0,4552,19348,1335,0.1904602510460251,0.7732291489723119,0.30563668714539904,528,23900,5887,4.06
25.0,4522,17078,1365,0.20935185185185184,0.7681331747919143,0.3290282679084658,528,21600,5887,3.67
35.0,4445,14516,1442,0.23442856389430938,0.7550535077288941,0.35777527366387635,528,18961,5887,3.22
45.0,4314,12733,1573,0.2530650554349739,0.7328010871411584,0.37620999389552623,528,17047,5887,2.9
60.0,4120,10777,1767,0.2765657514935893,0.6998471207745881,0.3964588144726713,528,14897,5887,2.53
80.0,3783,8891,2104,0.2984850875808742,0.642602344148123,0.40762889930499435,528,12674,5887,2.15
100.0,3212,6845,2675,0.3193795366411455,0.5456089689145575,0.4029101856497742,528,10057,5887,1.71
130.0,2483,4188,3404,0.37220806475790735,0.4217767963308986,0.3954451345755694,528,6671,5887,1.13
