proposta,VP,FP,FN,precisao,recall,F1,plots,alvos,plots_por_alvo
B0  Video bruto (sem filtro),24110,122577,0,0.1644,1.0,0.2823,146687,24110,6.08
P1  Filtro ClusWiSARD,11883,21045,12227,0.3609,0.4929,0.4167,32928,24110,1.37
P2  Filtro OS-CFAR,20552,90491,3558,0.1851,0.8524,0.3041,111043,24110,4.61
P3  ClusWiSARD + clust. ClusWiSARD,9752,6082,14358,0.6159,0.4045,0.4883,15834,24110,0.66
P4  ClusWiSARD + clust. ClusWiSARD + cinematica,10656,9624,13454,0.5254,0.442,0.4801,20280,24110,0.84
P5  OS-CFAR + DBSCAN,18035,40044,6075,0.3105,0.748,0.4389,58079,24110,2.41
P6  OS-CFAR + DBSCAN + cinematica,18063,40200,6047,0.31,0.7492,0.4386,58263,24110,2.42
