station,VP,FP,FN,precisao,recall,F1
altona,3037.0,5774.0,1245.0,0.3447,0.7092,0.4639
amerikahoeft,2139.0,4290.0,369.0,0.3327,0.8529,0.4787
ellerholzhoeft,1000.0,4021.0,723.0,0.1992,0.5804,0.2966
hohe_schaar,106.0,315.0,23.0,0.2518,0.8217,0.3855
kattwyk,783.0,2400.0,506.0,0.246,0.6074,0.3502
koehlbrandhoeft,3101.0,5255.0,1560.0,0.3711,0.6653,0.4765
krusenbusch,986.0,2810.0,559.0,0.2597,0.6382,0.3692
landungsbruecken,2561.0,3869.0,1079.0,0.3983,0.7036,0.5086
nesssand,339.0,572.0,369.0,0.3721,0.4788,0.4188
parkhafen,803.0,2822.0,132.0,0.2215,0.8588,0.3522
reiherstieg,340.0,1284.0,2.0,0.2094,0.9942,0.3459
sandauhafen,1064.0,2332.0,127.0,0.3133,0.8934,0.4639
seemannshoeft,1952.0,4126.0,959.0,0.3212,0.6706,0.4343
