station,VP,FP,FN,precisao,recall,F1
altona,3045.0,5824.0,1237.0,0.3433,0.7111,0.4631
amerikahoeft,2142.0,4321.0,366.0,0.3314,0.8541,0.4775
ellerholzhoeft,1000.0,4023.0,723.0,0.1991,0.5804,0.2965
hohe_schaar,106.0,317.0,23.0,0.2506,0.8217,0.3841
kattwyk,783.0,2401.0,506.0,0.2459,0.6074,0.3501
koehlbrandhoeft,3103.0,5281.0,1558.0,0.3701,0.6657,0.4757
krusenbusch,986.0,2814.0,559.0,0.2595,0.6382,0.3689
landungsbruecken,2574.0,3885.0,1066.0,0.3985,0.7071,0.5098
nesssand,339.0,574.0,369.0,0.3713,0.4788,0.4183
parkhafen,803.0,2823.0,132.0,0.2215,0.8588,0.3521
reiherstieg,340.0,1284.0,2.0,0.2094,0.9942,0.3459
sandauhafen,1064.0,2340.0,127.0,0.3126,0.8934,0.4631
seemannshoeft,1954.0,4139.0,957.0,0.3207,0.6712,0.434
