station,VP,FP,FN,precisao,recall,F1
altona,1679.0,742.0,2603.0,0.6935,0.3921,0.501
amerikahoeft,585.0,621.0,1923.0,0.4851,0.2333,0.315
ellerholzhoeft,998.0,656.0,725.0,0.6034,0.5792,0.5911
hohe_schaar,48.0,34.0,81.0,0.5854,0.3721,0.455
kattwyk,491.0,332.0,798.0,0.5966,0.3809,0.465
koehlbrandhoeft,1655.0,658.0,3006.0,0.7155,0.3551,0.4746
krusenbusch,795.0,743.0,750.0,0.5169,0.5146,0.5157
landungsbruecken,979.0,460.0,2661.0,0.6803,0.269,0.3855
nesssand,191.0,73.0,517.0,0.7235,0.2698,0.393
parkhafen,271.0,148.0,664.0,0.6468,0.2898,0.4003
reiherstieg,241.0,151.0,101.0,0.6148,0.7047,0.6567
sandauhafen,623.0,363.0,568.0,0.6318,0.5231,0.5723
seemannshoeft,1437.0,860.0,1474.0,0.6256,0.4936,0.5518
