station,VP,FP,FN,precisao,recall,F1
altona,1989.0,1413.0,2293.0,0.5847,0.4645,0.5177
amerikahoeft,735.0,1072.0,1773.0,0.4068,0.2931,0.3407
ellerholzhoeft,1025.0,956.0,698.0,0.5174,0.5949,0.5535
hohe_schaar,48.0,52.0,81.0,0.48,0.3721,0.4192
kattwyk,492.0,363.0,797.0,0.5754,0.3817,0.459
koehlbrandhoeft,1857.0,1068.0,2804.0,0.6349,0.3984,0.4896
krusenbusch,799.0,907.0,746.0,0.4683,0.5172,0.4915
landungsbruecken,1249.0,841.0,2391.0,0.5976,0.3431,0.436
nesssand,194.0,189.0,514.0,0.5065,0.274,0.3556
parkhafen,276.0,197.0,659.0,0.5835,0.2952,0.392
reiherstieg,246.0,190.0,96.0,0.5642,0.7193,0.6324
sandauhafen,639.0,540.0,552.0,0.542,0.5365,0.5392
seemannshoeft,1459.0,1484.0,1452.0,0.4958,0.5012,0.4985
