min_score,raio_equiv_m,VP,FP,FN,precisao,recall,F1,varreduras,plots,alvos,plots_por_alvo
0.8,111.1,2020,406,3867,0.832646331409728,0.34312892814676405,0.4859858053650908,528,2426,5887,0.41
0.85,81.0,2155,521,3732,0.8053064275037369,0.3660608119585527,0.5033282728015882,528,2676,5887,0.45
0.88,63.7,2274,642,3613,0.779835390946502,0.38627484287412944,0.51664205384528,528,2916,5887,0.5
0.91,47.1,2408,816,3479,0.7468982630272953,0.4090368608799049,0.5285918120952694,528,3224,5887,0.55
0.94,30.9,2744,1322,3143,0.6748647319232661,0.4661117717003567,0.551391540239124,528,4066,5887,0.69
0.96,20.4,2941,1899,2946,0.6076446280991735,0.49957533548496685,0.5483359746434231,528,4840,5887,0.82
0.98,10.1,3301,3530,2586,0.4832381788903528,0.5607270256497368,0.5191067777952508,528,6831,5887,1.16
